Rank,Address,Balance_BC2
71,bc1q8xd55gr7l0zcmueh2zrnnh3apndxjvd5rua2xd,7163.91822461
72,bc1q2rgzrsdex2fcakvvtdhcg8023c04s9v00cgru8,7141.42824841
73,bc1qgmvjavvcjnyp5krk5twrs9ckl4enn5efyt4sz6,7079.62879718
74,bc1qtnyu42sz5635a55e8e5q6ujt7wpxfcwtgn270d,7001.0
75,bc1q5u2qa3ydppcwk35rsqp75q7m0av07gr8ctmpvl,6826.5346
76,bc1qvuf3zawf7v7gdac4rq2ru3wlpjypqv2w983xs0,6751.99999859
77,bc1qas0shvj8wqw555jgce9xrx4tkkwvh7507vspe6,6751.99999859
78,bc1q7y67ampkdzcus0flvc8xeg32ghe5ah8hqwelqs,6751.99999792
79,bc1qwg5j2pdcy2nppcrhve86awursrljjetkps9nm2,6751.99997372
80,bc1qrsxt8m5rnq28egfhnf67jt7y5udcz4ttcar9sg,6487.5080852
81,bc1q2cgyl3mu7sn6x6u35tyuhsuy8kvnh8fud5a0a6,6309.48344308
82,bc1qz77tyt3nr5qrg8sqsr20nmytnj5jpnwyrkj7yk,6001.50287908
83,bc1qx9vuq3cvug5lxkllwzyzqpzk63kf9fedwhm9f6,6000.99999672
84,bc1qcgegkqqdka7maskkrmn4zvcrwvdzpchswefj3q,6000.99997462
85,bc1q2cfa2ttmnmgg0d6u4myh55e3xgl7xltf3vuv88,5999.99524215
86,bc1qfhz3tar4n2v0q3v8t8gykl9mdc5vumcvtn2xsf,5911.0
87,bc1qk9xkjfjhd9g9fgxx62wdv2nu0ae3y8ueyjxg2n,5704.07229384
88,bc1qltvgre6dun4an7099dtfngrh80e7qxlu9sr73f,5633.99998167
89,bc1qs7q973tjv0scfn3tsfe8gur50krw3ya757khhl,5499.999718
90,bc1qg0klrqpvfu7yt8hufm0vplxfww86a6ph3869v0,5164.85802053
91,bc1qc22vfjves2dpkrnu3xqjhz5denlr2gqdq2vh9w,5092.0
92,bc1q7g5ep37mhg8xmpgd328r8xsfvnccslvxzxvjxm,5091.55476253
93,bc1q66qc7jmu8hlrrv7qlg9xjywmn6nw9mhnhpgga5,5000.0
94,bc1quzxthjsq9njht5tuvtuk3wnuhgrgxkvyq94qa4,4857.78393151
95,bc1q3dfffpc4553jvyl5ksjle42y5j9u5pclpermhq,4855.67999562
96,bc1q0uqae4fs8t9tgetpdev5f6s3rstuetgq42e6wp,4811.99589724
97,1J3KUhokRps1joHaqm78wj2PJmEUNs9spR,4747.53178849
98,bc1q6qvpszng8hv9ncez9uhpfat4tfjerwsgu5nx79,4715.56974
99,bc1qun0sq78mttee3g3738kcsc5m38k9kw85s6a0r6,4693.0
100,bc1q8n0xw4dg6fy9cdrh7s3kzw5u9a2aekw8qfl4pu,4640.3379151
101,bc1qt88tagr95wh77lx83wyr4hfac32qp6lsffqx4p,4597.1022
102,bc1q9tzcvu4jrjwq9wgdgr97qxz474tmkjv8eg9kxa,4300.0
103,bc1qsxmgxgfqfktezvzgsz27l7ndtpvy8ghg8yk2sl,4294.35022788
104,bc1qj6wc2smd43zcya3rv8ew4e2hqljnnkq7zhqmzd,4114.0083
105,bc1qdzmt2scwgmk7uud9tzdfag6mtqgkjptp60y82j,4024.93445871
106,bc1qfns5c5ctatg3lspnlknkk82mnrmwa5fv6tkxmz,3973.0795
107,bc1q846mchh3cq46quz664wdazw5amaha9h94ng4lz,3972.99937548
108,bc1qarr25e9qyny83jh4vk9s9e4tycxykrvthxtk5g,3888.902558
109,bc1qj66zhcuyut0u0s745zvjjk8g3f7u0e26s6r6n7,3885.60156957
110,bc1qkr06pglsxua3yundxm00xfny3nw68d44gd9pk0,3860.0
111,1QCnJw8PwBGHYAWGU7opcNtVqNPGnZoiVC,3600.0
112,bc1qwvxcyag8crhff5nv6vk4cthc67llhjqgmdtl2r,3580.325464
113,bc1qu5wfcwptfze9p8x7fnphayrca4gkcu77t9a3va,3556.02877074
114,bc1q4au0kgn2f4j7jv2pweus55nkzns03ynu9mvs37,3546.1479
115,bc1qyse0eeaj2huctm26fmll3xu3pnsldx9qvr762g,3483.401
116,bc1qs4jemzl9qnjhwvzwef66crp6sx4c7w8ayvrfz9,3421.99951052
117,bc1q8uugkwae6qxv22vtasuk4h6tljgq44qvkmgefa,3408.67259724
118,bc1qd4uvd0sakwn8cx8c0dpamsxj7aklnzd96x59mw,3276.99
119,15iVFKB3FgsUyngRrEeThHSp14Lp6XuSDM,3250.0
120,bc1qywhfdhpf8mdcdn6tcvvpmg4c77m9dxv7e7grj2,3193.43655149
121,bc1qj58908yelcctaj0zc53nxepqaprkcz8jj7wvsp,3161.86739665
122,bc1quen26wsxkhtdgg588z22ul29wg8p7j2nlwnmkr,3126.3685
123,bc1qvklnmsztapc5hh88q44g58uu36ddjklepd4yw7,3092.9563
124,bc1qp5fqt80hrgqgrtk0u42xrxzhuprnus6yllzj7n,3059.49632719
125,bc1qrln4r8wg69qwnh0qqqf0hgeugamx5804kxzamy,3000.99999836
126,1MK4F7p77e4YgE7AMqMKtVv7a3KmHQRYnU,3000.0
127,14nakvSBL86yetxj5vwycZ2y4uBbxnedMB,3000.0
